,Date Created,Borough,Block,Lot,Address,Current Uses,Total Area,Number Structures,Total Gross Area Structures,Ratio Building to Floor Area,Allowable Building to Floor Area,Census Tract,Postcode,Num Floors,Industrial Business Zone,Potential Urban Ag,Latitude,Longitude,geometry
1490,12/11/2013,1,2106,1,506 EDGECOMBE AVENUE,"PARK, MATERIAL PROCESS FAC",3293950,6,20054,0.01,0.0,311.0,10032.0,1.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.832132,-73.940039,POINT (40.832132 -73.940039)
1880,12/11/2013,2,2403,37,387 EAST 156 STREET,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2646,0,0,0.0,2.43,69.0,10455.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.820963,-73.916138,POINT (40.820963 -73.916138)
2115,12/11/2013,2,2616,22,626 ST ANNS AVENUE,PARK,1794,0,0,0.0,0.0,73.0,10455.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.815816,-73.912063,POINT (40.815816 -73.912063)
2116,12/11/2013,2,2616,26,578 WESTCHESTER AVENUE,PARK,3309,0,0,0.0,0.0,73.0,10455.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.816005,-73.91149899999999,POINT (40.816005 -73.91149899999999)
2117,12/11/2013,2,2616,28,582 WESTCHESTER AVENUE,PARK,2554,0,0,0.0,0.0,73.0,10455.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.815999,-73.911412,POINT (40.815999 -73.911412)
2119,12/11/2013,2,2616,30,588 WESTCHESTER AVENUE,PARK,3124,0,0,0.0,0.0,73.0,10455.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.815988,-73.911282,POINT (40.815988 -73.911282)
2120,12/11/2013,2,2616,32,613 EAGLE AVENUE,PARK,2430,0,0,0.0,0.0,73.0,10455.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.815670000000004,-73.911185,POINT (40.81567 -73.911185)
2540,12/11/2013,2,2979,30,1221 HOE AVENUE,COMMUNITY GARDEN,3159,0,0,0.0,3.44,125.0,10459.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.829176000000004,-73.890888,POINT (40.829176 -73.890888)
2541,12/11/2013,2,2979,31,1219 HOE AVENUE,COMMUNITY GARDEN,3159,0,0,0.0,3.44,125.0,10459.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.829143,-73.890888,POINT (40.829143 -73.890888)
2542,12/11/2013,2,2979,33,1217 HOE AVENUE,COMMUNITY GARDEN,2700,0,0,0.0,3.44,125.0,10459.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.829113,-73.890888,POINT (40.829113 -73.890888)
2543,12/11/2013,2,2979,35,1211 HOE AVENUE,COMMUNITY GARDEN,2100,0,0,0.0,3.44,125.0,10459.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.829015999999996,-73.890888,POINT (40.829016 -73.890888)
2545,12/11/2013,2,2979,36,1209 HOE AVENUE,COMMUNITY GARDEN,2144,0,0,0.0,3.44,125.0,10459.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.828984000000005,-73.890888,POINT (40.82898400000001 -73.890888)
3634,12/11/2013,3,56,37,199 YORK STREET,COMMUNITY GARDEN,2587,0,0,0.0,3.0,21.0,11201.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.701365,-73.98280799999999,POINT (40.701365 -73.98280799999999)
4366,12/11/2013,3,1455,65,1733 ST MARKS AVENUE,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2129,0,0,0.0,0.0,365.02,11233.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.672986,-73.90966999999999,POINT (40.672986 -73.90966999999999)
4368,12/11/2013,3,1455,79,1735 ST MARKS AVENUE,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2129,0,0,0.0,0.0,365.02,11233.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.672983,-73.909626,POINT (40.672983 -73.909626)
4423,12/11/2013,3,1475,40,1418 EASTERN PARKWAY,"NO USE, FINAL COMMITMNT-DISP",1245,0,0,0.0,3.0,361.0,11233.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.668814000000005,-73.92155699999999,POINT (40.668814 -73.92155699999999)
4425,12/11/2013,3,1475,44,1424 EASTERN PARKWAY,"NO USE, FINAL COMMITMNT-DISP",1596,1,690,0.43,3.0,361.0,11233.0,2.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.668852,-73.921463,POINT (40.668852 -73.921463)
4426,12/11/2013,3,1475,45,1426 EASTERN PARKWAY,"NO USE, FINAL COMMITMNT-DISP",1496,0,0,0.0,3.0,361.0,11233.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.668863,-73.92143399999999,POINT (40.668863 -73.92143399999999)
5695,12/11/2013,3,3693,16,108 LIBERTY AVENUE,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",3000,0,0,0.0,2.43,908.0,11212.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.672906,-73.906533,POINT (40.672906 -73.906533)
5696,12/11/2013,3,3693,22,120 LIBERTY AVENUE,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2152,0,0,0.0,2.43,908.0,11212.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.672988000000004,-73.905982,POINT (40.672988 -73.90598199999999)
5697,12/11/2013,3,3693,23,122 LIBERTY AVENUE,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2131,0,0,0.0,2.43,908.0,11212.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.673002000000004,-73.90589200000001,POINT (40.673002 -73.90589200000001)
10007,12/11/2013,4,15837,29,358 BEACH 46 STREET,PARK,3804,0,0,0.0,0.0,972.04,11691.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.594922,-73.77731,POINT (40.594922 -73.77731)
10233,12/11/2013,4,15961,61,518 BEACH 43 STREET,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",3193,0,0,0.0,0.9,972.03,11691.0,0.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.59901,-73.77513499999999,POINT (40.59901 -73.77513499999999)
10510,12/11/2013,4,16109,70,88-02 BEACH CHANNEL DRIVE,ROAD/HIGHWAY,44850,1,27000,0.6,0.9,942.02,11693.0,1.0,,Potentially Suitable 1 - Site is available for a 4 year renewable lease through the Parks Department's GreenThumb program contingent on program capacity,40.590055,-73.814217,POINT (40.590055 -73.814217)
